Name	rgb1	rgb2	rgb3	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
'singles-BM0828-HSC-fresh-151027-1'	0	0.266666667	0.105882353	1.435499076	2.178022858	2.116683786	-1.08138908	-1.508800733	0.008806025	0.349094403	0.143870016	-0.003364711	0.063331853
'singles-BM0828-HSC-fresh-151027-2'	0	0.266666667	0.105882353	2.254695201	2.250768947	1.085345206	-0.589764521	-0.711968854	0.591778741	0.097564558	-0.082311659	0.155683222	0.011893942
'singles-BM0828-HSC-fresh-151027-3'	0	0.266666667	0.105882353	2.225691989	1.511315812	1.905947322	-0.706456122	-1.123756136	0.297148835	0.219392535	0.283497316	-0.218438809	-0.049792711
'singles-BM0828-HSC-fresh-151027-4'	0	0.266666667	0.105882353	2.262164097	1.907094935	1.563766266	-0.826374229	-0.818691661	0.439059666	0.256574526	0.244010522	-0.023573647	0.017170398
'singles-BM0828-HSC-fresh-151027-5'	0	0.266666667	0.105882353	1.133883576	2.982479362	1.80964827	-0.513306622	-1.231346756	0.227720044	0.134685433	-0.216571359	0.327379439	-0.032282204
'singles-BM0828-HSC-fresh-151027-6'	0	0.266666667	0.105882353	2.700791661	1.788741753	0.62338493	-0.785514777	-0.314861037	0.605163795	-0.007334497	0.125513555	0.162583527	-0.061320069
'singles-BM0828-HSC-fresh-151027-7'	0	0.266666667	0.105882353	2.596629787	1.661393349	2.081607394	-0.344224801	-1.025402325	-0.011649898	0.17769059	0.009108893	-0.169627276	0.030575353
'singles-BM0828-HSC-fresh-151027-10'	0	0.266666667	0.105882353	1.516154557	2.087105546	2.280503315	-0.688005328	-1.380428145	0.128951942	0.066869042	-0.162589651	0.122195169	-0.082702542
'singles-BM0828-HSC-fresh-151027-11'	0	0.266666667	0.105882353	2.90960149	0.463752964	1.350692932	-0.551106224	0.171931602	0.258696833	-0.429077041	0.245589749	0.198068218	0.04796008
'singles-BM0828-HSC-fresh-151027-12'	0	0.266666667	0.105882353	2.031720676	2.210677134	1.872822674	-0.771067661	-1.301436108	0.054027212	0.241610256	0.007947716	0.052902529	0.105354451
'singles-BM0828-HSC-fresh-151027-13'	0	0.266666667	0.105882353	2.409247987	1.944763284	2.054935326	-0.529797688	-0.866578042	0.040507375	0.24185596	0.089647522	-0.176753404	-0.090305454
'singles-BM0828-HSC-fresh-151027-14'	0	0.266666667	0.105882353	2.114864554	1.983213524	2.131040895	-0.740916619	-1.247596679	-0.229297925	-0.158141253	-0.000988428	-0.007461949	-0.024963391
'singles-BM0828-HSC-fresh-151027-15'	0	0.266666667	0.105882353	2.292940988	1.762927162	2.158148289	-0.509390881	-1.151079276	-0.145399773	0.182012567	0.174465174	-0.274701223	-0.029819591
